Datetime,symbol_ETHBTC,symbol_order_ETHBTC,orderId,transactTime,price_order,origQty,side,
2022-10-01 00:15:12+00:00,0.06864800,ETHBTC,3256393171,1664565312559,0.06879000,0.00160000,SELL,
2022-10-01 00:27:49+00:00,0.06851700,ETHBTC,3256413017,1664566069506,0.06872500,0.00160000,SELL,
2022-10-01 01:03:31+00:00,0.06881700,ETHBTC,3256497728,1664568211246,0.06853200,0.00160000,BUY,
2022-10-01 01:05:15+00:00,0.06890100,ETHBTC,3256505580,1664568315963,0.06865600,0.00160000,BUY,
2022-10-01 01:06:46+00:00,0.06885100,ETHBTC,3256510345,1664568406962,0.06867300,0.00160000,BUY,
2022-10-01 01:08:21+00:00,0.06879200,ETHBTC,3256515495,1664568502111,0.06847600,0.00160000,BUY,
2022-10-01 01:10:02+00:00,0.06882500,ETHBTC,3256520597,1664568602896,0.06852600,0.00160000,BUY,
2022-10-01 01:11:38+00:00,0.06886100,ETHBTC,3256525707,1664568698785,0.06821600,0.00160000,BUY,
2022-10-01 01:13:20+00:00,0.06893000,ETHBTC,3256530335,1664568800724,0.06826000,0.00160000,BUY,
2022-10-01 01:15:19+00:00,0.06882300,ETHBTC,3256534777,1664568920101,0.06842100,0.00160000,BUY,
2022-10-01 01:16:45+00:00,0.06884900,ETHBTC,3256538139,1664569005763,0.06853900,0.00160000,BUY,
2022-10-01 01:42:53+00:00,0.06862700,ETHBTC,3256587166,1664570573670,0.06880100,0.00160000,SELL,
2022-10-01 01:44:19+00:00,0.06862100,ETHBTC,3256589564,1664570660196,0.06886000,0.00160000,SELL,
2022-10-01 02:09:56+00:00,0.06855500,ETHBTC,3256626645,1664572197273,0.06856500,0.00160000,SELL,
2022-10-01 02:11:06+00:00,0.06858000,ETHBTC,3256627727,1664572267085,0.06855800,0.00160000,BUY,
2022-10-01 02:18:53+00:00,0.06857200,ETHBTC,3256637491,1664572733602,0.06865400,0.00160000,SELL,
2022-10-01 02:22:06+00:00,0.06866200,ETHBTC,3256644398,1664572927289,0.06864600,0.00160000,BUY,
2022-10-01 02:26:48+00:00,0.06857200,ETHBTC,3256651551,1664573209007,0.06866400,0.00160000,SELL,
2022-10-01 02:29:53+00:00,0.06856100,ETHBTC,3256655959,1664573393426,0.06860000,0.00160000,SELL,
2022-10-01 02:32:52+00:00,0.06847400,ETHBTC,3256659368,1664573572971,0.06849500,0.00160000,SELL,
2022-10-01 02:34:14+00:00,0.06849900,ETHBTC,3256660820,1664573654748,0.06870900,0.00160000,SELL,
2022-10-01 02:35:28+00:00,0.06852700,ETHBTC,3256662912,1664573728988,0.06851100,0.00160000,BUY,
2022-10-01 02:36:37+00:00,0.06849900,ETHBTC,3256664840,1664573797610,0.06855900,0.00160000,SELL,
2022-10-01 02:45:18+00:00,0.06840100,ETHBTC,3256676995,1664574319230,0.06876700,0.00160000,SELL,
2022-10-01 02:46:28+00:00,0.06839000,ETHBTC,3256678558,1664574388854,0.06879700,0.00160000,SELL,
2022-10-01 03:20:08+00:00,0.06837600,ETHBTC,3256733365,1664576409113,0.06834000,0.00160000,BUY,
2022-10-01 03:35:25+00:00,0.06830000,ETHBTC,3256756805,1664577326232,0.06851300,0.00160000,SELL,
2022-10-01 04:00:12+00:00,0.06821500,ETHBTC,3256787105,1664578813137,0.06860900,0.00160000,SELL,
2022-10-01 04:02:05+00:00,0.06817800,ETHBTC,3256790057,1664578926158,0.06852900,0.00160000,SELL,
2022-10-01 04:03:59+00:00,0.06820700,ETHBTC,3256792921,1664579039506,0.06853500,0.00160000,SELL,
2022-10-01 04:05:55+00:00,0.06818300,ETHBTC,3256795130,1664579155799,0.06859200,0.00160000,SELL,
2022-10-01 05:26:25+00:00,0.06851700,ETHBTC,3256881931,1664583985852,0.06837300,0.00160000,BUY,
